# X1 X2 X3 X4 X5 X6
1.18494 2.63881 -0.0181357 0.0143256 -0.60336 0.0315831
0.0977649 -0.962026 0.172019 0.163407 0.551578 0.0566886
-0.116206 -0.82428 -0.212385 0.559989 -0.241187 -0.159743
-0.252759 -0.981806 -0.202497 -0.263296 0.165296 0.212366
0.266272 -0.199637 -0.107554 0.140263 0.0767738 -0.0701309
0.111646 -0.565159 0.207127 -0.0480807 0.556104 0.103763
0.318818 -0.65001 -0.0840812 -0.173308 0.0988091 -0.358076
-0.212039 0.775767 -0.165141 0.0603153 0.316835 0.185273
-0.0922769 -0.569312 0.124204 -0.444345 -0.124636 0.02792
0.121266 -0.558618 0.160715 -0.401457 -0.56915 -0.392395
0.375072 0.115206 0.256292 -0.02287 -0.225017 0.165509
0.413009 -0.989541 -0.328255 -0.338093 -0.488243 -0.236034
1.75471 2.11252 0.0596134 0.296061 0.0694328 0.226535
1.86421 2.75799 0.102031 -0.159185 -0.0610309 -0.0984287
-0.0140352 -0.27453 -0.472086 -0.430035 0.0468664 -0.0575038
1.91238 2.35968 0.141425 0.0876751 0.0621385 -0.144085
-0.128404 -0.661722 -0.127113 -0.455015 -0.0509694 -0.512307
0.767345 2.33715 -0.279075 -0.0346921 0.135555 -0.0462545
0.152567 -0.112488 0.260103 -0.089817 0.560406 0.0589716
-0.604428 0.3636 -0.342262 -0.086473 -0.330282 0.220181
-0.0731461 -0.702829 0.00790835 -0.032229 0.20519 -0.33419
-0.0884593 0.204518 0.0766705 0.217097 0.177838 -0.0210566
0.356262 1.71402 0.0898991 -0.0521139 -0.313676 0.417642
0.0206245 -0.110498 0.382573 0.035527 0.14486 -0.246138
1.40994 3.04114 0.196699 -0.482195 0.251941 -0.00384762
1.20392 2.84154 -0.0490105 0.158799 -0.361849 0.265482
-0.380696 0.986483 -0.0622695 -0.26019 -0.249209 -0.284356
-0.100515 0.412823 0.136702 -0.243222 0.243461 -0.127781
-0.481481 0.186433 0.436961 0.345436 -0.0373515 0.165203
0.500127 1.11911 -0.137692 -0.253732 0.124086 -0.319565
-0.482124 0.128689 0.0391407 0.672351 0.173874 -0.272088
0.267041 1.63803 0.208776 -0.0746935 0.139084 0.121506
-0.246426 -1.95409 -0.080635 -0.0569167 0.15334 0.230334
-0.128296 -1.03261 0.128346 -0.095238 0.0418895 0.201139
2.16244 2.24748 -0.627359 0.18925 0.202349 -0.0614013
-0.371329 -0.974654 0.136092 0.476711 -0.474285 -0.182008
-0.103611 0.365129 -0.019195 -0.222506 -0.428138 -0.704948
-0.053345 -0.395484 0.138982 0.151323 -0.100647 0.278204
