# ln(den) G1 G2 G3 G4 G5 G6
-4.164836714074633961e-01 1.607636798906565856e+00 -8.877097899489596600e-01 2.176284000000000551e-01 -1.719072000000000100e-01 7.240320000000002310e+00 -3.789972000000001451e-01
3.619051064375872762e-01 -1.173171636404325424e+00 1.443053443716441953e+00 -2.064227999999999952e+00 -1.960884000000000071e+00 -6.618935999999999709e+00 -6.802632000000001788e-01
5.093417688749051625e-02 1.394479850213049099e+00 1.236437689491955538e+00 2.548619999999999663e+00 -6.719867999999998176e+00 2.894243999999999595e+00 1.916916000000000064e+00
1.093046229916212253e+00 3.033109815500948159e+00 1.472713710881588423e+00 2.429964000000000013e+00 3.159551999999999694e+00 -1.983551999999999982e+00 -2.548392000000000657e+00
2.588563527632437911e+00 -3.194037155338659062e+00 3.012959890889378989e-01 1.290648000000000239e+00 -1.683156000000000319e+00 -9.212856000000002599e-01 8.415708000000001743e-01
7.901306295522048107e-01 -1.339665416757694683e+00 8.478955804505091676e-01 -2.485524000000000733e+00 5.769683999999999369e-01 -6.673248000000002733e+00 -1.245155999999999930e+00
1.318593896099930163e+00 -3.825695560820721486e+00 9.752128279032801217e-01 1.008974400000000049e+00 2.079696000000000211e+00 -1.185709200000000241e+00 4.296912000000000731e+00
1.587924309942052359e+00 2.562302186822042582e+00 -1.137089845718679548e+00 1.981692000000000675e+00 -7.237836000000001935e-01 -3.802020000000000621e+00 -2.223275999999999808e+00
1.626577127977643311e+00 1.107362677449374333e+00 8.540509144995059865e-01 -1.490447999999999995e+00 5.332139999999999880e+00 1.495632000000000073e+00 -3.350400000000000045e-01
-1.015823108634142935e+00 -1.455098648163947184e+00 8.380950727296430092e-01 -1.928579999999999961e+00 4.817484000000000322e+00 6.829800000000000537e+00 4.708739999999999704e+00
1.578942210353065700e+00 -4.491339947141415934e+00 -1.605496248286779892e-01 -3.075504000000001348e+00 2.744400000000000728e-01 2.700204000000000271e+00 -1.986108000000000207e+00
-1.558918593249289719e+00 -4.956086285389836199e+00 1.484348301786191593e+00 3.939060000000001338e+00 4.057116000000000611e+00 5.858915999999999791e+00 2.832408000000000481e+00
5.541854856210088887e-01 -1.553416401013399728e+00 2.317803040046001684e+00 -7.153607999999997968e-01 -3.552731999999999779e+00 -8.331935999999998677e-01 -2.718419999999999614e+00
1.187624860643605285e+00 -2.190545323630436414e+00 -1.548617917486262430e+00 -1.224371999999999794e+00 1.910219999999999807e+00 7.323707999999998774e-01 1.181144399999999983e+00
7.584327321224444418e-01 1.687001591494801112e-01 4.123007911117276825e-01 5.665031999999999179e+00 5.160419999999999341e+00 -5.623967999999999190e-01 6.900455999999999257e-01
1.197243172018613411e+00 -2.480423654446376247e+00 8.406052747282186655e-01 -1.697100000000000275e+00 -1.052101200000000070e+00 -7.456620000000001580e-01 1.729019999999999779e+00
-6.100449250356754227e-02 1.540868328748316252e+00 9.926274087441093741e-01 1.525355999999999712e+00 5.460179999999999367e+00 6.116327999999997544e-01 6.147683999999998150e+00
3.566479547891189816e-01 2.061676003184819361e+00 2.079145890698153032e-01 3.348900000000000432e+00 4.163052000000000419e-01 -1.626660000000000217e+00 5.550539999999999363e-01
